Year,Month,Work Type,Value
2010,Sep,Other New Work - Excluding Infrastructure - Private Commercial,2451
2010,Sep,All New Work,7820
2010,Sep,Repair & Maintenance - Housing - Private,788
2010,Sep,Repair & Maintenance - Housing - Public,1675
2010,Sep,Repair & Maintenance - Housing - Total,2464
2010,Sep,Repair and Maintenance - Non Housing R&M,2068
2010,Sep,All Repair and Maintenance,4532
2010,Sep,All Work,12352
2010,Oct,New Housing - Public,499
2010,Oct,New Housing - Private,1648
2010,Oct,Total Housing,2147
2010,Oct,Other New Work - Infrastructure,1345
2010,Oct,Other New Work - Excluding Infrastructure - Public,1562
2010,Oct,Other New Work - Excluding Infrastructure - Private Industrial,333
2010,Oct,Other New Work - Excluding Infrastructure - Private Commercial,2372
2010,Oct,All New Work,7759
2010,Oct,Repair & Maintenance - Housing - Private,785
2010,Oct,Repair & Maintenance - Housing - Public,1605
2010,Oct,Repair & Maintenance - Housing - Total,2389
2010,Oct,Repair and Maintenance - Non Housing R&M,2080
2010,Oct,All Repair and Maintenance,4469
2010,Oct,All Work,12228
2010,"Nov ",New Housing - Public,499
2010,"Nov ",New Housing - Private,1626
2010,"Nov ",Total Housing,2125
2010,"Nov ",Other New Work - Infrastructure,1332
2010,"Nov ",Other New Work - Excluding Infrastructure - Public,1496
2010,"Nov ",Other New Work - Excluding Infrastructure - Private Industrial,361
2010,"Nov ",Other New Work - Excluding Infrastructure - Private Commercial,2424
2010,"Nov ",All New Work,7738
2010,"Nov ",Repair & Maintenance - Housing - Private,772
2010,"Nov ",Repair & Maintenance - Housing - Public,1595
2010,"Nov ",Repair & Maintenance - Housing - Total,2367
2010,"Nov ",Repair and Maintenance - Non Housing R&M,2051
2010,"Nov ",All Repair and Maintenance,4418
2010,"Nov ",All Work,12156
2010,"Dec ",New Housing - Public,459
2010,"Dec ",New Housing - Private,1494
2010,"Dec ",Total Housing,1953
2010,"Dec ",Other New Work - Infrastructure,1219
2010,"Dec ",Other New Work - Excluding Infrastructure - Public,1466
2010,"Dec ",Other New Work - Excluding Infrastructure - Private Industrial,338
2010,"Dec ",Other New Work - Excluding Infrastructure - Private Commercial,2333
2010,"Dec ",All New Work,7309
2010,"Dec ",Repair & Maintenance - Housing - Private,778
2010,"Dec ",Repair & Maintenance - Housing - Public,1595
2010,"Dec ",Repair & Maintenance - Housing - Total,2373
2010,"Dec ",Repair and Maintenance - Non Housing R&M,2073
2010,"Dec ",All Repair and Maintenance,4446
2010,"Dec ",All Work,11755
2011,"Jan ",New Housing - Public,510
2011,"Jan ",New Housing - Private,1604
2011,"Jan ",Total Housing,2114
2011,"Jan ",Other New Work - Infrastructure,1464
2011,"Jan ",Other New Work - Excluding Infrastructure - Public,1485
2011,"Jan ",Other New Work - Excluding Infrastructure - Private Industrial,347
2011,"Jan ",Other New Work - Excluding Infrastructure - Private Commercial,2325
2011,"Jan ",All New Work,7736
2011,"Jan ",Repair & Maintenance - Housing - Private,688
2011,"Jan ",Repair & Maintenance - Housing - Public,1590
2011,"Jan ",Repair & Maintenance - Housing - Total,2278
2011,"Jan ",Repair and Maintenance - Non Housing R&M,2121
